customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,age_group,tenure_group,avg_monthly_spend
7590-vhveg,female,0,yes,no,-1.2802480369298874,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,-1.1616939352451685,-0.9941940877241977,no,Young,New Customer,1.2983946629512986
5575-gnvde,male,0,no,no,0.06430268518835193,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed check,-0.2608779199297493,-0.17373981825040724,no,Young,Loyal Customer,-0.4247527292936341
3668-qpybk,male,0,no,no,-1.2395040756535771,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,-0.3639232943754246,-0.9596491092068434,yes,Young,New Customer,1.1195053595860307
7795-cfocw,male,0,no,no,0.512486259227765,no,no phone service,dsl,yes,no,yes,yes,no,no,one year,no,bank transfer (automatic),-0.747850415293989,-0.19524770717404732,no,Young,Loyal Customer,-0.46970440039567585
9237-hqitu,female,0,no,no,-1.2395040756535771,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,0.19617817640187488,-0.94045745447498,yes,Young,New Customer,1.6347677120141957
9305-cdskc,female,0,no,no,-0.9950403079957154,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,1.1584890119510036,-0.6453692184426381,yes,Young,New Customer,0.23461489528988608
1452-kiovk,male,0,no,yes,-0.42462485012737144,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),0.8078023344020117,-0.14731268909089865,no,Young,Loyal Customer,-0.27950073083465576
6713-okomc,female,0,no,no,-0.9135523854430948,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,-1.1650179795821258,-0.8741690378436584,no,Young,New Customer,-0.3452463722424039
7892-pookp,female,0,yes,no,-0.18016108246950976,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,1.3296772953043026,0.33651554451135574,yes,Young,Loyal Customer,-0.2982851998082981
6388-tabgu,male,0,no,yes,1.2051336009250397,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),-0.28747027462540753,0.5314762853391823,no,Middle-aged,Loyal Customer,-0.47180549891328283
9763-grskd,male,0,yes,yes,-0.791320501614164,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,-0.4935610235167579,-0.7481879571842651,no,Young,Loyal Customer,-0.29220292989017776
7469-lkbci,male,0,no,no,-0.6690886177852331,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),-1.5240147679735105,-0.8631834699626608,no,Young,Loyal Customer,-0.45475873423844937
8091-ttvax,male,0,yes,no,1.0421577558197987,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,credit card (automatic),1.181757322309704,1.4990665744239262,no,Young,Loyal Customer,-0.42137845419331665
0280-xjgex,male,0,no,no,0.6754621043330061,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),1.2931128075977727,1.2145888969272465,yes,Young,Loyal Customer,-0.3977617564328358
5129-jlpis,male,0,no,no,-0.3023929662984406,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,1.3529456056630036,0.17768805707524432,no,Young,Loyal Customer,-0.26910374568180256
3655-snqyz,female,0,yes,yes,1.4903413298592119,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),1.6105590417771916,2.475877681529266,no,Middle-aged,Loyal Customer,-0.4268135127957981
8191-xwszg,female,0,no,no,0.797693988161937,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,-1.4675060142452372,-0.5560508161330804,no,Young,Loyal Customer,-0.5029065373713597
9959-wofkt,male,0,no,yes,1.5718292524118322,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,bank transfer (automatic),1.3928341377064908,2.2495926306793175,no,Middle-aged,Loyal Customer,-0.4352832299973317
4190-mfluw,female,0,yes,yes,-0.9135523854430948,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),-0.3190486958265014,-0.7742621363716935,yes,Young,New Customer,-0.1895973886305723
4183-myfrb,female,0,no,no,-0.46536881140368175,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,0.8393807556031058,-0.18547540482207542,no,Young,Loyal Customer,-0.2649391269791191
8779-qrdmv,male,1,no,no,-1.2802480369298874,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,-0.8359375902233565,-0.9898704505662146,yes,Senior,New Customer,1.897750277645188
1680-vdcww,male,0,yes,no,-0.8320644628904743,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),-1.495760391109374,-0.9181333687409043,no,Young,New Customer,-0.42628169769846547
1066-jksgk,male,0,no,no,-1.2802480369298874,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,-1.4841262359300234,-0.9984736061356706,yes,Young,New Customer,0.7051549218767342
3638-weabw,female,0,yes,no,1.0421577558197987,yes,yes,dsl,no,yes,no,yes,no,no,two year,yes,credit card (automatic),-0.16281861198951006,0.5390426503656527,no,Young,Loyal Customer,-0.46403140038326707
6322-hrpfa,male,0,yes,yes,0.6754621043330061,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),-0.17279074500038175,0.3030955940300073,no,Young,Loyal Customer,-0.45280461900676444
6865-jznko,female,0,no,no,-0.09867315991688919,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),-0.3157246514895444,-0.33208199947490835,no,Young,Loyal Customer,-0.4144576753677697
6467-chfzw,male,0,yes,yes,0.5939741817803856,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,1.1485168789401314,1.0879019163236925,yes,Young,Loyal Customer,-0.3979144541024455
8665-utdhz,male,0,yes,yes,-1.2802480369298874,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,-1.150059780065818,-0.9940396721114126,yes,Young,New Customer,1.3198002206189374
5248-ygijn,male,0,yes,no,1.6125732136881425,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),0.8460288442770204,1.802757966025724,no,Middle-aged,Loyal Customer,-0.4505328354528738
